Title,Author,Average rating,Number of ratings,Number of reviews,Genres,Publish year,Number of pages,Currently reading,Want to read
"The Dream Keeper (Dream Keeper Chronicles, #1)",Mikey Brooks,4.16,164,58.0,"Fantasy, Middle Grade, Young Adult, Childrens, Young Adult Fantasy, Amazon, Fiction",2013.0,297.0,56.0,
"Game. Set. Match. (Outer Banks Tennis Academy, #1)",Jennifer Iacopelli,3.92,1790,213.0,"New Adult, Romance, Sports, Contemporary, Young Adult, Sports Romance, Contemporary Romance",2013.0,242.0,69.0,
Practice Makes Perfect,Julie James,3.95,32299,1908.0,"Romance, Contemporary Romance, Contemporary, Chick Lit, Enemies To Lovers, Adult, Humor",2009.0,291.0,353.0,
"Predestined (Existence, #2)",Abbi Glines,4.05,40079,1629.0,"Paranormal, Young Adult, Romance, Fantasy, Paranormal Romance, Supernatural, Ghosts",2012.0,214.0,757.0,
"Seducing Cinderella (Fighting for Love, #1)",Gina L. Maxwell,3.91,34727,1945.0,"Romance, Contemporary Romance, Contemporary, Sports, Erotica, Adult, Sports Romance",,,,
"Taking Chances (Taking Chances, #1)",Molly McAdams,3.84,48034,5619.0,"Romance, New Adult, Contemporary, Young Adult, College, Contemporary Romance, College Romance",2012.0,466.0,962.0,
"Touch of Power (Healer, #1)",Maria V. Snyder,4.12,47176,3536.0,"Fantasy, Young Adult, Magic, Romance, High Fantasy, Fiction, Adventure",2011.0,390.0,841.0,
Heart on a Chain,Cindy C. Bennett,4.03,17248,1045.0,"Young Adult, Romance, Contemporary, Abuse, High School, Contemporary Romance, Realistic Fiction",2010.0,322.0,284.0,
"Clash (Crash, #2)",Nicole Williams,4.13,46790,1966.0,"Romance, New Adult, Young Adult, Contemporary, College, Sports, Contemporary Romance",2012.0,216.0,334.0,
"Providence (Providence, #1)",Jamie McGuire,3.97,27895,1904.0,"Paranormal, Romance, Fantasy, Young Adult, Angels, New Adult, Paranormal Romance",2010.0,361.0,1507.0,
"Callum & Harper (Sleepless, #1)",Fisher Amelie,3.91,12734,1044.0,"Romance, New Adult, Young Adult, Contemporary, Contemporary Romance, College, Realistic Fiction",2011.0,256.0,148.0,
"Scarlet (Scarlet, #1)",A.C. Gaughen,3.93,25246,2876.0,"Young Adult, Historical Fiction, Fantasy, Romance, Retellings, Historical, Adventure",2012.0,287.0,348.0,
Taming the Tycoon,Amy Andrews,3.84,862,79.0,"Romance, Contemporary, Contemporary Romance, Erotica, Adult, Humor, Chick Lit",2012.0,244.0,28.0,
Going Too Far,Jennifer Echols,3.92,38346,1677.0,"Young Adult, Romance, Contemporary, New Adult, Chick Lit, Contemporary Romance, Realistic Fiction",2009.0,245.0,271.0,
"A Lot like Love (FBI/US Attorney, #2)",Julie James,4.06,33872,1865.0,"Romance, Contemporary Romance, Contemporary, Romantic Suspense, Chick Lit, Adult, Suspense",,,,
A Change of Plans (Safe Harbors #1),Donna K. Weaver,4.45,648,179.0,"Romance, Contemporary Romance, Contemporary, Adventure, Clean Romance, Romantic Suspense, Chick Lit",2013.0,326.0,387.0,
"Turn to Me (Kathleen Turner, #2)",Tiffany Snow,4.36,8919,531.0,"Romance, Romantic Suspense, Suspense, Mystery, Contemporary, Contemporary Romance, Fiction",2012.0,444.0,377.0,
"The Siren (The Original Sinners, #1)",Tiffany Reisz,4.01,28540,3652.0,"Erotica, BDSM, Romance, Dark, Contemporary, Adult, Contemporary Romance",2012.0,432.0,1485.0,
"Wrong Bed, Right Guy (Come Undone, #1)",Katee Robert,3.67,23184,1381.0,"Romance, Contemporary Romance, Contemporary, Erotica, Adult, Audiobook, Erotic Romance",2012.0,144.0,637.0,
"Between the Lines (Between the Lines, #1)",Tammara Webber,3.7,27264,1517.0,"Romance, Young Adult, New Adult, Contemporary, Contemporary Romance, Chick Lit, Celebrity",2011.0,280.0,441.0,
"The Mistaken (The Mistaken, #1)",Nancy S. Thompson,3.68,578,130.0,"Thriller, Romantic Suspense, Suspense, Romance, Mystery, Dark, Contemporary",2012.0,409.0,75.0,
"That Boy (That Boy, #1)",Jillian Dodd,3.94,47704,3263.0,"Romance, Young Adult, Contemporary, New Adult, Friends To Lovers, Chick Lit, Contemporary Romance",2011.0,287.0,19369.0,
"Rock Me (Ross Siblings, #2)",Cherrie Lynn,4.07,46046,1825.0,"Romance, Contemporary Romance, Erotica, Contemporary, New Adult, Adult, Erotic Romance",2010.0,280.0,855.0,
"Where You Are (Between the Lines, #2)",Tammara Webber,3.93,19162,842.0,"Romance, Young Adult, New Adult, Contemporary, Contemporary Romance, Chick Lit, Young Adult Romance",2011.0,250.0,267.0,
"Forever Mine (The Moreno Brothers, #1)",Elizabeth Reyes,3.87,23108,1058.0,"Romance, Young Adult, Contemporary, New Adult, Contemporary Romance, High School, Chick Lit",2010.0,335.0,888.0,
"Her Forbidden Hero (The Hero, #1)",Laura Kaye,3.85,11582,699.0,"Romance, Contemporary Romance, Contemporary, Military Fiction, Friends To Lovers, Adult, Erotica",2012.0,240.0,135.0,
"Anew (The Archers of Avalon, #1)",Chelsea Fine,3.91,14318,976.0,"Young Adult, Paranormal, Fantasy, Romance, Paranormal Romance, Supernatural, Magic",2011.0,385.0,221.0,
NGLND XPX,Ian Hutson,4.51,138,17.0,"Science Fiction, Short Stories, Humor, British Literature, Comedy",2013.0,,10.0,
"What a Boy Wants (What a Boy Wants, #1)",Nyrae Dawn,3.52,10566,874.0,"Young Adult, Romance, Contemporary, High School, New Adult, Contemporary Romance, Chick Lit",2012.0,248.0,108.0,
"Sex in the Title: A Comedy about Dating, Sex, and Romance in NYC",Zack Love,3.49,841,252.0,"Romance, Humor, Contemporary, Fiction, Comedy, Chick Lit, Book Club",2013.0,376.0,71.0,
"Intuition (The Premonition, #2)",Amy A. Bartol,4.26,26296,985.0,"Angels, Paranormal, Fantasy, Romance, Young Adult, Paranormal Romance, New Adult",2011.0,388.0,1140.0,
Triton (The Aegean Chronicles #1),Yelle Hughes,4.24,79,16.0,"Mythology, Mermaids, Greek Mythology, Romance, Fantasy",2014.0,260.0,2.0,
"Clearly's Corruption (Witch In The Woods, #2)",Taylor Ann Bunker,4.41,41,17.0,"Young Adult, Paranormal, Horror, Fantasy, Supernatural, Fiction",2014.0,214.0,2.0,
"Holiday Affair (Affair, #1)",Annie Seaton,3.56,1005,103.0,"Romance, Contemporary Romance, Contemporary, Adult, Chick Lit, Love Story, Australia",2012.0,210.0,26.0,
"The Vincent Brothers (The Vincent Boys, #2)",Abbi Glines,4.09,49672,2531.0,"Romance, New Adult, Young Adult, Contemporary, Contemporary Romance, Chick Lit, High School",,,,
In Bed with the Opposition,Stephanie Draven,3.72,403,60.0,"Romance, Contemporary Romance, Contemporary, Adult, Politics, Fiction, Second Chance Romance",2012.0,165.0,12.0,
"Truth (Consequences, #2)",Aleatha Romig,4.34,32556,3122.0,"Dark, Romance, Dark Romance, Contemporary, Suspense, Thriller, Mystery",2012.0,480.0,919.0,
"The Pledge (The Pledge, #1)",Kimberly Derting,3.78,28977,2490.0,"Young Adult, Dystopia, Fantasy, Romance, Paranormal, Magic, Fiction",2011.0,323.0,376.0,
"About That Night (FBI/US Attorney, #3)",Julie James,4.03,25515,1511.0,"Romance, Contemporary Romance, Contemporary, Chick Lit, Romantic Suspense, Adult, Audiobook",,,,
"Indebted (The Premonition, #3)",Amy A. Bartol,4.34,22657,782.0,"Angels, Paranormal, Fantasy, Romance, Young Adult, Paranormal Romance, New Adult",2012.0,427.0,603.0,
Journey to the West: A Long March from Eastern Dream to Western Reality,Biao Wang,4.27,142,36.0,"Nonfiction, Memoir, China, Biography, History",2020.0,256.0,7.0,
"Dream Weaver (Dream Weaver, #1)",Su Williams,4.03,180,48.0,"Young Adult, Fantasy, Paranormal, Romance, Amazon, Young Adult Paranormal, Fiction",2013.0,193.0,14.0,
"Rock Star (Dream Weaver, #2)",Su Williams,4.37,89,17.0,"Paranormal, Young Adult",2014.0,284.0,6.0,
More Than Scars,Sarah Brocious,3.88,747,127.0,"Romance, Contemporary, Contemporary Romance, Beauty and The Beast, Clean Romance, Retellings, Fairy Tales",2014.0,333.0,20.0,
"Within Temptation (Sons of Temptation, #1)",Tanya Holmes,3.87,853,175.0,"Romantic Suspense, Romance, Contemporary Romance, Mystery, Contemporary, Suspense, Adult",2014.0,350.0,20.0,
Galactic Energies,Luca Rossi,3.96,516,128.0,"Science Fiction, Short Stories, Fantasy, Romance, Cyberpunk, Erotica, Anthologies",2012.0,236.0,31.0,
"The Moon Dwellers (The Dwellers, #1)",David Estes,3.83,4427,721.0,"Dystopia, Young Adult, Science Fiction, Fantasy, Romance, Fiction, Post Apocalyptic",2012.0,369.0,372.0,
"How to Ruin a Summer Vacation (How to Ruin, #1)",Simone Elkeles,3.94,10420,732.0,"Young Adult, Romance, Contemporary, Chick Lit, Fiction, Young Adult Romance, Realistic Fiction",2006.0,240.0,104.0,
Tsunami Connection,Michael James Gallagher,4.26,141,27.0,"Espionage, Spy Thriller, Thriller, Mystery Thriller",2013.0,261.0,19.0,
Nicu II and Victoria's Incestuous Romance,Kenneth Jarrett Singleton,4.4,465,16.0,"Fiction, Plays, Contemporary, Drama, Historical Fiction, Romance, Suspense",2013.0,74.0,4.0,
"The Cavalier (Heroes of the Empire, #1)",Israh Azizi,4.4,358,213.0,"Fantasy, Young Adult, Romance, Adventure, High Fantasy, Fiction, Fantasy Romance",,458.0,26.0,
"The Pirate, the Angel & the Irishman (Angeli, #1)",Amy Vansant,4.05,467,69.0,"Paranormal, Fantasy, Romance, Angels, Urban Fantasy, Paranormal Romance, Time Travel",2014.0,312.0,146.0,
"My Super Sweet Sixteenth Century (My Super Sweet Sixteenth Century, #1)",Rachel Harris,3.71,3212,577.0,"Time Travel, Young Adult, Historical Fiction, Romance, Fantasy, Historical, Historical Romance",2012.0,304.0,78.0,
Magic America,C.E. Medford,3.81,369,46.0,"Magical Realism, Fantasy, Fiction, Young Adult, Coming Of Age, New Adult, Urban Fantasy",2014.0,244.0,13.0,
"Flesh (Flesh, #1)",Kylie Scott,3.53,7805,882.0,"Zombies, Romance, Menage, Erotica, Post Apocalyptic, Paranormal, Dystopia",2012.0,288.0,585.0,
"Night Owl (Night Owl, #1)",M. Pierce,4.0,17925,2447.0,"Romance, Erotica, BDSM, Contemporary Romance, Contemporary, New Adult, Adult",2013.0,274.0,274.0,
"Moon Spell (The Tale of Lunarmorte, #1)",Samantha Young,3.99,12673,688.0,"Paranormal, Young Adult, Fantasy, Werewolves, Romance, Magic, Shapeshifters",2010.0,436.0,470.0,
Riding Desire: Alpha Bad Boy Bikers,Opal Carew,3.79,706,66.0,"Romance, Anthologies, Contemporary, Contemporary Romance, Erotica, Erotic Romance, Menage",2014.0,,63.0,
"Don't Close Your Eyes (DCYE, #1)",Lynessa James,3.76,609,74.0,"Romance, Reverse Harem, Contemporary, Fiction, Crime, Contemporary Romance, Enemies To Lovers",2014.0,,86.0,
Not the Marrying Kind,Nicola Marsh,3.6,1213,110.0,"Romance, Contemporary Romance, Contemporary, Adult, Chick Lit, Realistic Fiction, Audiobook",2012.0,228.0,64.0,
"Yours Truly, Taddy (The Undergrad Years, #2; Invitation to Eden, #1)",Avery Aster,3.75,847,215.0,"Romance, New Adult, Contemporary Romance, Contemporary, Menage, Young Adult, Erotica",2014.0,192.0,48.0,
"Complicated Moonlight (DCYE, #2)",Lynessa Layne,4.37,311,17.0,"Reverse Harem, Romance, Dark Romance, Thriller",,287.0,19.0,
"A Night of Southern Comfort (The Boys are Back in Town, #1)",Robin Covington,3.93,2049,234.0,"Romance, Contemporary Romance, Contemporary, Romantic Suspense, Suspense, Adult, Amazon",2012.0,150.0,230.0,
"Chasing Nikki (Chasing Nikki, #1)",Lacey Weatherford,3.96,12836,1237.0,"Romance, Young Adult, Contemporary, New Adult, Sports, High School, Contemporary Romance",2012.0,320.0,259.0,
"Birthmarked (Birthmarked, #1)",Caragh M. O'Brien,3.89,48771,3743.0,"Young Adult, Dystopia, Fantasy, Science Fiction, Fiction, Romance, Post Apocalyptic",2010.0,361.0,653.0,
"All My Life (First Things, #1)",Rucy Ban,3.52,1761,206.0,"New Adult, Romance, Contemporary, College, Contemporary Romance, Erotica, High School",2013.0,155.0,183.0,
Deep World Fire (Deep World Saga #1),Charlotte Malina Meridian,4.38,88,10.0,"Fantasy, Fiction",2016.0,391.0,,919.0
"No Dress Required (Love Required, #1)",Cari Quinn,3.41,3430,235.0,"Romance, Contemporary Romance, Contemporary, Erotica, Adult, Short Stories, Novella",2011.0,61.0,62.0,
"Avoiding Responsibility (Avoiding, #2)",K.A. Linde,4.07,23758,1555.0,"Romance, New Adult, Contemporary Romance, Contemporary, Adult, Erotica, Chick Lit",2012.0,350.0,267.0,
Trust in Advertising,Victoria Michaels,3.88,11797,644.0,"Romance, Contemporary Romance, Contemporary, Chick Lit, Adult, Humor, New Adult",2010.0,452.0,102.0,
Sunstruck,Melissa Bellis,4.47,108,15.0,"Fantasy, Romantasy",,319.0,38.0,
"Love, Lex (The Undergrad Years, #1)",Avery Aster,3.26,1781,343.0,"New Adult, Romance, Contemporary, Erotica, Contemporary Romance, Young Adult, Humor",2014.0,218.0,106.0,
"The Conduit (Gryphon, #1)",Stacey Rourke,3.87,1298,247.0,"Fantasy, Paranormal, Young Adult, Angels, Mythology, Urban Fantasy, Dragons",2011.0,186.0,232.0,
"The Wall (The Woodlands, #2)",Lauren Nicolle Taylor,4.16,1186,86.0,"Dystopia, Young Adult, Romance, Science Fiction, Fantasy, Survival",2013.0,340.0,87.0,
Just the Sexiest Man Alive,Julie James,3.91,45556,2351.0,"Romance, Contemporary Romance, Contemporary, Chick Lit, Adult, Humor, Fiction",2008.0,296.0,622.0,
Sacrifice (Gryphon #3),Stacey Rourke,4.41,349,101.0,"Fantasy, Paranormal, Urban Fantasy, Young Adult, Romance, Angels, Demons",2012.0,272.0,19.0,
"Blood Will Tell (Warriors of Ankh, #1)",Samantha Young,3.91,6170,407.0,"Young Adult, Paranormal, Fantasy, Romance, Mythology, Paranormal Romance, Urban Fantasy",2011.0,273.0,134.0,
"My Blood Approves (My Blood Approves, #1)",Amanda Hocking,3.82,30253,1859.0,"Vampires, Young Adult, Paranormal, Fantasy, Romance, Paranormal Romance, Supernatural",2010.0,261.0,543.0,
"Tall, Dark & Heartless (Pyte/Sentinel, #3)",R.L. Mathewson,4.22,11248,416.0,"Paranormal, Paranormal Romance, Romance, Vampires, Fantasy, Supernatural, Erotica",2012.0,433.0,323.0,
"Crow's Row (Crow's Row, #1)",Julie Hockley,4.03,20339,1728.0,"Romance, New Adult, Contemporary, Dark, Young Adult, Contemporary Romance, Dark Romance",2011.0,408.0,397.0,
Sophie & Carter,Chelsea Fine,3.82,13645,769.0,"Young Adult, Romance, Contemporary, High School, Friends To Lovers, Abuse, Contemporary Romance",2011.0,117.0,61.0,
"Poughkeepsie (Poughkeepsie Brotherhood, #1)",Debra Anastasia,3.91,12465,1637.0,"Romance, Contemporary Romance, Contemporary, New Adult, Adult, Abuse, Dark",2011.0,372.0,222.0,
"Pieces of Lies (Pieces of Lies, #1)",Angela Richardson,3.81,2136,238.0,"New Adult, Romance, College, Contemporary Romance, Contemporary, Mystery, Suspense",2013.0,230.0,53.0,
"Embrace (Gryphon, #2)",Stacey Rourke,4.43,585,148.0,"Fantasy, Paranormal, Urban Fantasy, Young Adult, Romance, Demons, Mythology",2012.0,184.0,78.0,
"Without Regret (Pyte/Sentinel, #2)",R.L. Mathewson,4.01,12668,651.0,"Paranormal, Romance, Paranormal Romance, Vampires, Fantasy, Supernatural, Adult",2011.0,380.0,377.0,
Trafficked to Hell: A trafficked daughter's plight. A mother's fight to find her.,R.J. Flo,4.38,102,13.0,"Feminism, Gender, Nonfiction, Gender Studies",,318.0,6.0,
Baby Stetson (Love and Music in Texas #1),Nikki Lynn Barrett,4.07,808,108.0,"Romance, Music, Contemporary Romance, Contemporary, Chick Lit, Amazon, M F Romance",2013.0,455.0,482.0,
"The Woodlands (The Woodlands, #1)",Lauren Nicolle Taylor,3.73,3693,376.0,"Dystopia, Young Adult, Romance, Science Fiction, Fiction, Fantasy, Post Apocalyptic",2013.0,275.0,827.0,
"Creed (Unfinished Hero, #2)",Kristen Ashley,4.15,34921,2124.0,"Romance, Contemporary Romance, Contemporary, Erotica, Second Chance, Adult, Erotic Romance",2012.0,360.0,1017.0,
"Unraveling (Unblemished, #2)",Sara Ella,4.15,755,204.0,"Fantasy, Young Adult, Romance, Christian Fiction, Contemporary, Christian, Magic",,356.0,32.0,
"Heller (Heller, #1)",J.D. Nixon,4.07,5933,523.0,"Romance, Humor, Contemporary, Chick Lit, Contemporary Romance, Mystery, Fiction",2011.0,271.0,142.0,
"Spider's Bite (Elemental Assassin, #1)",Jennifer Estep,3.88,35280,2264.0,"Urban Fantasy, Fantasy, Paranormal, Magic, Romance, Vampires, Adult",2010.0,395.0,951.0,
"Take This Regret (Take This Regret, #1)",Amy Lichtenhan,4.0,25177,1858.0,"Romance, Contemporary Romance, Contemporary, New Adult, Second Chance, Second Chance Romance, Adult",2011.0,298.0,931.0,
"Unscrupulous (The Manhattanites, #1)",Avery Aster,3.71,1916,730.0,"Romance, Erotica, Contemporary Romance, Contemporary, Erotic Romance, Adult, Humor",2013.0,260.0,119.0,
"Disastrous (Disastrous, #1)",E.L. Montes,3.96,18786,1119.0,"Romance, New Adult, Contemporary Romance, Contemporary, Erotica, College, Adult",2012.0,274.0,193.0,
"Eternal Rider (Lords of Deliverance, #1; Demonica, #6)",Larissa Ione,4.18,24654,1495.0,"Paranormal Romance, Paranormal, Romance, Demons, Fantasy, Angels, Urban Fantasy",,,,
"Prince of Wolves (The Grey Wolves, #1)",Quinn Loftis,4.03,40029,3015.0,"Paranormal, Young Adult, Fantasy, Romance, Werewolves, Paranormal Romance, Shapeshifters",2011.0,230.0,3813.0,
"That Wedding (That Boy, #2)",Jillian Dodd,4.15,19171,1049.0,"Romance, New Adult, Contemporary, Young Adult, Contemporary Romance, Chick Lit, Friends To Lovers",2012.0,381.0,6012.0,
Imprints,Chelsea Ashley,4.67,46,21.0,Fantasy,,,1.0,
Liquid Comfort - A Surf Story,Cheryl Lee Petro,4.01,84,12.0,"Young Adult, Fiction, Sports, Contemporary",2013.0,420.0,5.0,
"Trancing the Tiger (Chinese Zodiac Romance, #1)",Rachael Slate,3.87,428,146.0,"Fantasy, Romance, Paranormal Romance, Paranormal, New Adult, Mythology, Shapeshifters",2015.0,297.0,100.0,
"The Dreamer (Dreamland, #1)",E.J. Mellow,3.93,1167,202.0,"Fantasy, Romance, New Adult, Paranormal, Young Adult, Fiction, Science Fiction",2015.0,339.0,442.0,
"Throne of Novoxos (Van Laven Chronicles, #1)",Tyler Chase,3.64,2240,128.0,"Science Fiction, Romance, Fantasy, Paranormal, Science Fiction Romance",2014.0,437.0,52.0,
"Law Man (Dream Man, #3)",Kristen Ashley,4.29,46878,2961.0,"Romance, Contemporary Romance, Contemporary, Adult, Romantic Suspense, Suspense, Erotica",2012.0,535.0,848.0,
"Try Me (Take a Chance, #1)",Diane Alberts,3.51,3788,298.0,"Romance, Contemporary Romance, Military Fiction, Contemporary, Adult, Erotica, Novella",2013.0,65.0,74.0,
"Undressed (The Manhattanites, #2)",Avery Aster,3.65,2342,591.0,"Romance, Erotica, Contemporary Romance, Contemporary, Erotic Romance, Humor, Adult",2013.0,,88.0,
"Defiance (Significance, #3)",Shelly Crane,4.28,26043,923.0,"Paranormal, Young Adult, Romance, Fantasy, Paranormal Romance, Supernatural, Magic",2011.0,348.0,572.0,
"Ransom (Redemption, #2)",R.K. Ryals,4.31,1467,107.0,"Paranormal, Angels, Romance, Demons, Young Adult, Fantasy, Paranormal Romance",2012.0,276.0,49.0,
"Here (Here Trilogy, #1)",Ella James,3.73,1129,162.0,"Young Adult, Paranormal, Science Fiction, Romance, Aliens, Fantasy, Paranormal Romance",2012.0,210.0,47.0,
"Goddess Interrupted (Goddess Test, #2)",Aimee Carter,3.98,31881,2282.0,"Mythology, Young Adult, Fantasy, Romance, Paranormal, Greek Mythology, Fiction",2012.0,304.0,402.0,
"Beautifully Damaged (Beautifully Damaged, #1)",L.A. Fiore,3.98,30137,1883.0,"Romance, New Adult, Contemporary Romance, Contemporary, Fighters, Abuse, Erotica",2012.0,370.0,1577.0,
Kidnapped by the Greek Billionaire,Rachel Lyndhurst,3.59,775,52.0,"Romance, Contemporary Romance, Contemporary, Billionaires, Erotica, Greece, Harlequin",2012.0,172.0,47.0,
The Persecution of Mildred Dunlap,Paulette Mahurin,3.9,938,233.0,"Historical Fiction, Fiction, LGBT, Historical, Queer, Amazon, Social Issues",2012.0,212.0,101.0,
"Gravity (The Taking, #1)",Melissa West,3.79,8360,812.0,"Young Adult, Science Fiction, Dystopia, Aliens, Romance, Fantasy, Paranormal",2012.0,284.0,156.0,
"Wife for Hire (For Hire, #1)",Christine Bell,3.69,2824,217.0,"Romance, Contemporary Romance, Contemporary, Adult, Chick Lit, Humor, Suspense",2012.0,133.0,109.0,
Crux,Julie Reece,3.62,1090,162.0,"Young Adult, Fantasy, Paranormal, Romance, Urban Fantasy, Mythology, Time Travel",2012.0,285.0,32.0,
"Requiem (Providence, #2)",Jamie McGuire,4.13,19584,787.0,"Paranormal, Romance, Fantasy, Angels, Young Adult, Paranormal Romance, New Adult",2011.0,257.0,306.0,
Who Wants to Marry a Cowboy?,Abigail Sharpe,3.85,180,76.0,"Romance, Contemporary Romance, Contemporary, Fiction, Chick Lit, Westerns, Western Romance",2013.0,384.0,11.0,
"Witch in the Woods (Witch in the Woods, #1)",Taylor Ann Bunker,4.1,228,26.0,"Fantasy, Paranormal, Young Adult, Horror, Witches, Fiction, Historical Fiction",2013.0,204.0,6.0,
Million Dollar Miracle,Jennifer Szewczuk,4.19,54,9.0,"Mystery, Fiction, Humor",2013.0,129.0,1.0,
The Change (Blue River Chronicles #2),Charlotte Malina Meridian,4.48,56,5.0,Werewolves,,298.0,1.0,
Shifting,Bethany Wiggins,3.96,2117,311.0,"Young Adult, Fantasy, Paranormal, Romance, Shapeshifters, Mythology, Supernatural",2011.0,353.0,53.0,
"Feudlings (Fate on Fire, #1)",Wendy Knight,3.94,3081,207.0,"Fantasy, Young Adult, Paranormal, Romance, Magic, Supernatural, Paranormal Romance",2013.0,283.0,124.0,
"Rising (Rising, #1)",Holly Kelly,3.76,3194,423.0,"Fantasy, Mermaids, Romance, Paranormal, Paranormal Romance, Young Adult, Mythology",2013.0,350.0,401.0,
Stolen Luck,Jaclyn Weist,4.04,95,32.0,"Fantasy, Young Adult, Paranormal",2013.0,163.0,46.0,
Fawkes,Nadine Brandes,3.9,5710,1622.0,"Fantasy, Historical Fiction, Young Adult, Historical, Fiction, Christian Fiction, Christian",2018.0,448.0,346.0,
Graffiti Moon,Cath Crowley,3.88,20113,2123.0,"Young Adult, Contemporary, Romance, Realistic Fiction, Fiction, Art, Young Adult Contemporary",2010.0,264.0,182.0,
"Redemption (Redemption, #1)",R.K. Ryals,3.95,3025,256.0,"Paranormal, Young Adult, Fantasy, Angels, Romance, Demons, Paranormal Romance",2011.0,340.0,272.0,
You Don't Have to Say You Love Me,Sarra Manning,3.96,17621,1479.0,"Romance, Chick Lit, Contemporary, Contemporary Romance, Adult, New Adult, Humor",2011.0,560.0,444.0,
"The Labyrinth (Acropolis, #2)",R.K. Ryals,4.24,339,36.0,"Fantasy, Paranormal, Romance, Supernatural, Young Adult, Teen",2012.0,202.0,8.0,
From Rags,Suzanne Wright,3.89,16848,1031.0,"Romance, Contemporary Romance, Contemporary, Adult, Erotica, New Adult, Humor",2012.0,292.0,613.0,
"Hollowland (The Hollows, #1)",Amanda Hocking,3.96,18487,1614.0,"Zombies, Young Adult, Dystopia, Horror, Paranormal, Fantasy, Post Apocalyptic",2010.0,312.0,537.0,
